name,country,city,address,phone,website,rating,reviews_count,latitude,longitude,business_type,hours,type
Bike care motors,France,Paris,"207 Rue de la Croix Nivert, 75015 Paris, France",+33 1 82 83 03 84,https://bikecaremotors.fr/,4.7,263,48.8367674,2.2896403,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
All Motorbike Services,France,Paris,"106 Av. du Bois Guimier, 94100 Saint-Maur-des-Fossés, France",+33 6 07 65 93 65,N/A,4.5,47,48.7984266,2.4853972,Motorcycle repair shop,Closed ⋅ Opens 8 AM,Motorcycle Repair Shop
SPEED MOTO BIKE 94 à Maison Alfort,France,Paris,"14 Rue Charles Martigny, 94700 Maisons-Alfort, France",+33 9 84 28 91 79,https://www.speed-moto-bike-94.fr/,4.9,244,48.790667,2.4359402,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
PARIS MOTO SERVICES,France,Paris,"148 Rue Legendre, 75017 Paris, France",+33 9 52 45 27 57,https://www.parismotoservices.fr/,4.6,155,48.8899647,2.3241066,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Andrea Koben Motorcycle,France,Paris,"39 Av. du Groupe Manouchian, 94400 Vitry-sur-Seine, France",+33 7 67 47 20 10,http://www.andreakoben.com/,5.0,47,48.7909718,2.4038142,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,Motorcycle Repair Shop
Rollbiker,France,Paris,"87 bis Bd de la République, 92100 Boulogne-Billancourt, France",+33 1 46 08 55 49,https://www.rollbiker.com/,4.8,103,48.8332783,2.2447614,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
MECANIC2ROUES,France,Paris,"141 Av. Jean Jaurès, 75019 Paris, France",+33 1 48 03 19 19,N/A,4.2,371,48.88666,2.3843868,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Dirty Riderz Shop,France,Paris,"69 Rue de la Glacière, 75013 Paris, France",+33 1 45 89 15 77,https://www.dirtyriderzshop.com/,3.8,21,48.8297591,2.3438426,Motorcycle repair shop,Closed ⋅ Opens 11 AM,Motorcycle Repair Shop
Doc'Biker Garibaldi,France,Paris,"76 Bd Garibaldi, 75015 Paris, France",+33 1 53 86 89 05,N/A,4.4,99,48.8455078,2.3087803,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
MICHAEL RÉPARATIONS CLAMART,France,Paris,"221 Avenue du Général de Gaulle, 92140 Clamart, France",+33 7 68 35 91 24,N/A,4.9,520,48.7873931,2.2568985,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
SSMotoScoot,France,Paris,"17 Rue des Ecoles, 94140 Alfortville, France",+33 6 13 14 15 25,https://ssmotoscoot.fr/,5.0,3,48.8033343,2.415494,Motorcycle repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
SO BIKE,France,Paris,"37 Rue Pasteur, 93400 Saint-Ouen-sur-Seine, France",+33 6 51 73 15 99,N/A,4.4,46,48.9021276,2.3292743,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,Motorcycle Repair Shop
BIKE SHOP - Atelier et Préparateur - Thermique et Electrique,France,Paris,"81 B Rue de Silly, 92100 Boulogne-Billancourt, France",+33 1 49 09 17 18,https://bikeshop92.com/,3.7,120,48.8360147,2.2325975,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM,Motorcycle Repair Shop
Ride Bike,France,Paris,"87 Bd Charles de Gaulle, 92700 Colombes, France",+33 9 88 30 19 24,https://ridebike.fr/,4.8,211,48.9120771,2.2317589,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,Motorcycle Repair Shop
Bike Occaz,France,Paris,"115 Av. de Rosny, 93130 Noisy-le-Sec, France",+33 7 45 55 91 32,N/A,4.5,135,48.8946397,2.4703541,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM Mon,Motorcycle Repair Shop
By Scoot,France,Paris,"19 Rue Jouffroy d'Abbans, 75017 Paris, France",+33 1 75 51 83 95,N/A,4.8,19,48.8864068,2.3113792,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
D-RIDE,France,Paris,"16 Bis Av. Gabriel Péri, 93400 Saint-Ouen-sur-Seine, France",+33 1 85 43 00 85,http://www.d-ride.fr/,4.8,231,48.9107498,2.3332166,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Systeme bike,France,Paris,"40 Bd du Temple, 75011 Paris, France",+33 1 48 05 82 77,http://www.systemebike.fr/,4.7,198,48.8655599,2.3657182,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
MécaServices,France,Paris,"23 Rue Gabriel Péri, 92120 Montrouge, France",+33 1 47 46 97 97,http://mecaservices92.com/,4.8,137,48.817896,2.322612,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Moto's Cool,France,Paris,"ZA Les jardins d, 71 Rue Etienne Dolet, 94140 Alfortville, France",+33 1 43 76 26 38,https://www.motoscool.fr/,4.7,325,48.7937428,2.4265316,Motorcycle repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
Répar'Scoot,France,Paris,"209 Rue Saint-Maur, 75010 Paris, France",+33 1 48 03 52 96,N/A,5.0,135,48.8726076,2.3711052,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,Motorcycle Repair Shop
Atelier AMMS,France,Paris,"39 Ave Parmentier, 75011 Paris, France",+33 1 43 55 99 48,N/A,4.8,150,48.8623939,2.3762909,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,Motorcycle Repair Shop
Fairplay Moto,France,Paris,"Non visible depuis la rue, 179 Rue de Charonne, 75011 Paris, France",+33 7 67 21 34 24,http://www.fairplaymoto.fr/,5.0,61,48.8561096,2.3925337,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM Mon,Motorcycle Repair Shop
City Bikes 75,France,Paris,"62 Rue de Maubeuge, 75009 Paris, France",+33 1 49 70 01 20,N/A,4.7,62,48.8789833,2.3474721,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM Mon,Motorcycle Repair Shop
Scootomax,France,Paris,"23 Av. de la République, 93170 Bagnolet, France",+33 6 67 76 38 32,N/A,4.7,77,48.8627671,2.415663,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,Motorcycle Repair Shop
Atelier Dynamic Sport,France,Paris,"21 Rue Turgot, 75009 Paris, France",+33 1 42 81 39 70,http://www.dynamicmotos.com/,4.5,161,48.8807994,2.3449974,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM Mon,Motorcycle Repair Shop
Voiture,France,Paris,"95 Rue Louis Rouquier, 92300 Levallois-Perret, France",N/A,N/A,N/A,0,48.8923038,2.2903496,Motorcycle repair shop,N/A,Motorcycle Repair Shop
"- ADM - L’Art Du Motocycle - Garage multimarque, Atelier spécialiste Kymco - Concessionnaire scooter électriques -",France,Paris,"119 Bd Saint-Michel, 75005 Paris, France",+33 1 43 54 00 07,http://lartdumotocycle.fr/,5.0,124,48.8430286,2.3387822,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Réparation velo a domicile,France,Paris,"60 Rue Arago, 93400 Saint-Ouen-sur-Seine, France",N/A,N/A,5.0,1,48.9031402,2.3238026,Motorcycle repair shop,N/A,Motorcycle Repair Shop
Bike-Up,France,Paris,"20 Grande Rue, 92310 Sèvres, France",+33 1 84 19 06 04,N/A,4.6,125,48.8262836,2.2183236,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Pompe velo libre service,France,Paris,"1 Rue Ernest Deloison, 92200 Neuilly-sur-Seine, France",N/A,N/A,N/A,0,48.8766979,2.2505228,Motorcycle repair shop,Open 24 hours,Motorcycle Repair Shop
Inter-Scooter,France,Paris,"125 Av. Gabriel Péri, 93400 Saint-Ouen-sur-Seine, France",+33 1 40 12 97 32,N/A,3.6,74,48.90221,2.3307324,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM,Motorcycle Repair Shop
BEN SCOOTERS - VILLEJUIF,France,Paris,"147 Av. de Paris, 94800 Villejuif, France",+33 1 80 91 31 74,https://www.benscooters.fr/,4.2,42,48.7992035,2.3658871,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Atelier DUCATI PARIS 16,France,Paris,"accès via AUDI TROCADERO, 120 Rue Lauriston, 75116 Paris, France",+33 1 83 81 02 70,http://www.ducatiparis.com/,4.5,194,48.8656183,2.2853596,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,Motorcycle Repair Shop
FTN MOTOS,France,Paris,"46 Rue Kléber, 92300 Levallois-Perret, France",+33 1 47 75 37 18,http://ftnmotos.fr/,5.0,73,48.893274,2.282054,Motorcycle repair shop,Closed ⋅ Opens 9:15 AM Mon,Motorcycle Repair Shop
Julien Réparation,France,Paris,"26 Rue Boris Vildé, 92260 Fontenay-aux-Roses, France",+33 6 61 41 16 80,N/A,4.9,105,48.7894096,2.2817685,Motorcycle repair shop,Closed ⋅ Opens 10:30 AM,Motorcycle Repair Shop
FRIENDS GARAGE 🔧,France,Paris,"Urdu medium school, 75020 Paris, France",N/A,N/A,N/A,0,48.8651812,2.3915162,Motorcycle repair shop,N/A,Motorcycle Repair Shop
Atelier du Roule Toujours,France,Paris,"35 Rue Carnot, 94700 Maisons-Alfort, France",+33 1 43 96 12 12,https://www.roule-toujours.com/,4.6,306,48.8024404,2.4375511,Motorcycle repair shop,Closed ⋅ Opens 8 AM,Motorcycle Repair Shop
MY 2 ROUES,France,Paris,"98 Bd Davout, 75020 Paris, France",+33 6 03 07 00 01,https://linktr.ee/my2roues,4.7,74,48.8573336,2.4103191,Motorcycle repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
